Datum;Unfaelle_mit_Alkoholeinfluss;Unfaelle_Fahrrad;Unfaelle_Motorrad_roller;Verunglueckte_Kinder_u15J;Verunglueckte_Fussgaenger;Verunglueckte_auf_EScooter;Getoetete_insgesamt;PKWPersschaden
05.08.2010;80;207;53;77;53;;5;707
06.08.2010;125;248;79;85;73;;13;743
07.08.2010;200;230;128;99;67;;8;644
08.08.2010;209;132;84;50;42;;12;459
09.08.2010;77;267;99;70;77;;9;655
10.08.2010;88;373;110;109;76;;9;739
11.08.2010;78;271;60;108;69;;9;707
12.08.2010;85;221;62;87;56;;9;763
13.08.2010;117;269;84;95;79;;8;727
14.08.2010;216;194;130;92;79;;8;607
15.08.2010;193;110;52;72;45;;5;504
16.08.2010;58;181;34;77;71;;12;697
17.08.2010;78;191;35;63;54;;13;717
18.08.2010;66;214;47;91;59;;6;671
